slug,name,role,tokens,tier,path,remote,last_commit,activity,domains,surfaces,supabase_ref,vercel_project,linear_project,notes
medsim-game,MedSim-Game,Medical Simulation — GAME mode (Tenetrix Intervention virtual world); the single Tier-1 flagship,medsim-game;medsim game;medsim;tenetrix intervention,flagship,MedSim-Game,StrandWorksAutomations/MedSim-Game,2026-07-14,idle,,lifepak15-replica.vercel.app;pocus-ultrasound.vercel.app,brecweskqoiagnuzcmyr,,6bed141c-567d-4b3c-8a80-f81da7f8b924,physiology engine is a separate repo consumed as submodule; digital props (m15-monitor-defib / pocus-ultrasound) each own repo under props/; assets on Cloudflare R2 medsim-assets
strandworks-ops,strandworks-ops,The operations cockpit + Orchestration Fabric (this repo),strandworks-ops;strandworks ops;cockpit;ops;broker;orchestration,ops,strandworks-ops,StrandWorksAutomations/strandworks-ops,2026-08-31,active,dashboard.strandautomationworks.com,dashboard.strandautomationworks.com,bniuiwbwumpymxiesyyt,strandworks-cockpit,,admin.* compliance/ops schema lives in the legacy shared Supabase project (2026-08-26)
3rdrider,3rdrider,Smart-glasses copilot for patient interactions; feeds billing + inventory (Spectacles Lens HUD STR-525),3rdrider;3rd rider;command-station;command station,tier-2,3rdrider,StrandWorksAutomations/3rdrider,2026-08-17,active,,,,,,runnable Lens project NOT in git; nested 3rd-rider MedCapture repo shares the path
haptic-mirror,haptic-mirror,Medical Simulation — FIELD mode (real-environment AR),haptic-mirror;haptic mirror;haptic,tier-2,haptic-mirror,StrandWorksAutomations/haptic-mirror,2026-07-11,idle,,,,,,Supabase project haptic-mirror-mmo PAUSED in Strandworks Paused Holding org (2026-07-12)
liaison-dashboard,liaison-dashboard,EMS-agency liaison dashboard + agency lists (IL+KY),liaison-dashboard;liaison dashboard;liaison,tier-3,liaison-dashboard,StrandWorksAutomations/liaison-dashboard,2026-06-11,idle,,liaison-dashboard.vercel.app,ojaykrqpzeebhcmpuxqr,liaison-dashboard,,the sales role it was built for is over; dashboard + lists are the assets
tenetrix-insight,Tenetrix Insight (BadgeMedia),Deployed phone app; vetted calculators; FREE all-unlocked since 2026-06-10,tenetrix-insight;tenetrix insight;badgemedia,tier-2,BadgeMedia,StrandWorksAutomations/Badgemedia,2026-08-29,active,,,,,,cardio-sim 3D electrical heart on feature/heart3d-electrical-rhythms; dermatomes planned next
smartbadge,SmartBadge,Hardware badge (nRF54L15 + e-paper) + BLE companion,smartbadge;smart badge,tier-3,SmartBadge,StrandWorksAutomations/SmartBadge,2026-06-28,idle,,,,,,RFQ reference parts corrected 2026-07; physical card typography floor 6pt
sw-billing-integrations,SW Billing Integrations,Billing app (receives from Insight + 3rdrider); NEMSIS XML exporter,sw-billing;sw billing;billing-integration;billing integration,tier-2,SW_Billing_Automations,StrandWorksAutomations/SW_Billing_Automations,2026-06-20,idle,,,,,,NEMSIS conformance + registration prep done Sprint 3 (2026-06-18)
chekov,Chekov,Inventory management (Check Off),chekov;check off;check-off,tier-3,chekov,StrandWorksAutomations/chekov,2026-06-18,idle,,,,,,
medcapture,MedCapture,Clinical capture (owner-ruled PAUSE),medcapture,frozen,MedCapture,StrandWorksAutomations/MedCapture-flagship,2026-05-27,dormant,,,,,,Supabase project MedCapture Production PAUSED in Strandworks Paused Holding org (2026-07-12)
tenetrix-intervention,Tenetrix Intervention,Earlier sim engine / scenario repo behind MedSim (live sim backend on legacy Supabase),tenetrix_intervention;tenetrix-intervention,tier-3,Tenetrix_Intervention,StrandWorksAutomations/tenetrix_intervention,2026-07-08,idle,,,,,,relationship to MedSim-Game doctrine: MedSim-Game is canon
tenetrix-orchard,Tenetrix Orchard,Automated content production + social engagement pipeline,tenetrix-orchard;orchard,tier-2,tenetrix-orchard,StrandWorksAutomations/tenetrix-orchard,2026-08-29,active,,,,,,Graph-API listener + heartbeat (2026-08-29); Meta token exchange outage handling in progress
contracting-startup,Remote/Austere Medical Contracting,Contracting company research program + investor site + contract-source scanner,contracting-startup;med-contracting;contracting,tier-2,contracting-startup,StrandWorksAutomations/contracting-startup,2026-08-31,active,,med-contracting-plan.vercel.app,,,,scanner/ phase-0 screening engine built 2026-08-29; passcode registry + Supabase access log on the site
