date,item,type,action_needed
2026-07-11,Cascadeur refund email sent,deadline-watch,confirm refund lands; escalate if no reply in 7 days
2026-07-12,Supabase $67 bill review,billing,DONE 2026-07-11 — driver is 5 always-on Micro Compute projects; owner to decide which projects to pause
,Strandworks LLC filings/renewal dates,business,tracked in Supabase bniuiwbwumpymxiesyyt admin.obligations / admin.v_due_items (2026-08-26); owner still to supply formation state + annual-report date
2026-07-18,Cascadeur refund escalation deadline,deadline-watch,if no refund/reply by this date escalate via cascadeur.com customer portal (sub renews 2027-07-08 at $419.76)
2026-08-04,ChatGPT Plus renews $21.20,billing,owner decision: cancel-candidate per own assessment
2026-08-07,Claude Max 20x renews $212,billing,
2026-08-04,ShadowVM renews $39.41,billing,owner decision: consolidation candidate — VM idle since creation
2026-08-29,Namecheap renewal cluster (10 domains Aug 29-30),billing,owner review speculative domains before auto-renew fires
2026-07-12,Cancel Watchful auto-renew in Apple subscriptions,billing,owner: Settings > Subscriptions > Watchful > Cancel (lapses at term)
2026-07-12,Verify Rocket Money truly dead (no charges after Mar 2),billing,owner or Mac sweep: statement search
2026-07-12,Supabase 5-project audit: name + purpose + kill list,billing,owner reads project list from dashboard; 2 of 5 mapped
2026-11-20,SAM.gov public API key expires ~2026-11-26,renewal,regenerate at sam.gov/workspace/profile/account-details; update SAM_API_KEY in .env.master before scanner runs fail
2026-09-30,VA disability claim — file (mental-health basis of Army discharge); unlocks SDVOSB if rated,deadline-watch,owner files; agents only track. VOSB does not need rating — apply via SBA VetCert now
2026-12-01,Paramedic licence expiry dates — collect exact dates (KY/IL/MI/OR/CO + NREMT + CCP KY/IL) into scanner company.local.yml,todo,owner supplies dates; all good until ≥2027
2026-09-06,Form Strandworks Medical Resources LLC (KY SOS; owner est. $125) then EIN (IRS online),deadline-watch,owner files; then agent drives SAM.gov entity registration (needs formed entity + physical street address + Articles of Organization upload). Strandworks LLC and Strandworks Automations LLC already exist; medical LLC kept separate for clinical liability
2026-09-20,Vendor registrations on login-walled state portals — KY VSS/eMARS; OhioBuys; TN Edison; wvOASIS (needs EIN + SAM UEI),deadline-watch,owner registers after Strandworks Medical Resources LLC + EIN exist; scanner records these as public_listing gaps until then. Free registrations; no purchase
